"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, vol. 9, iss. 1 s. 132-136 - tab. - Summ. - Bibliogr. 34 poz.",1,9,,132-136,1,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Moscow : Russian State Social University, 2019","S. 103-111 - summ., tab. - Bibliogr. 24 poz.",,,,103-111,,Russian State Social University,Moscow,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, nr 383 s. 108-122 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.",383,,,108-122,383,Faculty of Management University of Warsaw,Warsaw,2019
"Koprivnica : University North, 2019",516 s.,,,,,516,University North,Koprivnica,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019",163 s.,,,,,163,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","178 s. : rys., tab.",,,,,178,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019",1101 s. ; Bibliogr. przy rozdz.,,,,,1101,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Moscow : Russian State Social University, 2019","2019, nr 382 s. 80-90 - rys., tab. - Streszcz., summ. - Bibliogr. 25 poz.",382,,,80-90,382,Russian State Social University,Moscow,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, nr 6 s. 2-10 - rys. - Streszcz., summ. - Bibliogr. 36 poz.",6,,,2-10,6,Faculty of Management University of Warsaw,Warsaw,2019
"Koprivnica : University North, 2019","2019, nr 382 s. 64-79 - rys., tab. - Streszcz., summ. - Bibliogr. 38 poz.",382,,,64-79,382,University North,Koprivnica,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, nr 382 s. 133-142 - Streszcz., summ. - Bibliogr. 38 poz.",382,,,133-142,382,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, nr 382 s. 123-132 - tab. - Streszcz., summ. - Bibliogr. 18 poz.",382,,,123-132,382,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","2019, nr 5 s. 25-31 - Summ. - Bibliogr. 33 poz.",5,,,25-31,5,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Moscow : Russian State Social University, 2019","2019, nr 382 s. 24-37 - Streszcz., summ. - Bibliogr. 17 poz.",382,,,24-37,382,Russian State Social University,Moscow,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","2019, vol. 53, no. 2 s. 67-77 - rys. - Summ. - Bibliogr. 30 poz.",2,53,,67-77,2,Faculty of Management University of Warsaw,Warsaw,2019
"Koprivnica : University North, 2019","2019, No. 20 s. 87-102 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.",20,,,87-102,20,University North,Koprivnica,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019 s. 230-241 - rys., tab. - Summ. - Bibliogr. 14 poz.",,,,230-241,2019,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Sofia : STEF92 Technology, 2019","2019, t. 20, nr 2 s. 57-72 - rys., tab. - Streszcz., summ. - Bibliogr. 43 poz.",2,20,,57-72,2,STEF92 Technology,Sofia,2019
"Warszawa : CeDeWu, 2019",2019 s. 29-40 - rys. - Summ. - Bibliogr. 16 poz.,,,,29-40,2019,CeDeWu,Warszawa,2019
"Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019","2019, nr 390 s. 91-104 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.",390,,,91-104,390,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
"Katowice : Publishing House of the University of Economics in Katowice, 2019","2019, No. 20 s. 23-37 - Streszcz., summ. - Bibliogr. 43 poz.",20,,,23-37,20,Publishing House of the University of Economics in Katowice,Katowice,2019
"Varazdin : Varazdin Development and Entrepreneurship Agency, 2019","182 s. : rys., tab., Bibliogr. 257 poz., s. 169-178",,,,169-178,182,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
"Moscow : Russian State Social University, 2019","2019, vol. 14, no. 2 s. 389-403 - tab. - Summ. - Bibliogr. 38 poz.",2,14,,389-403,2,Russian State Social University,Moscow,2019
"Warsaw : Faculty of Management University of Warsaw, 2019","138 s. : rys., tab.",,,,,138,Faculty of Management University of Warsaw,Warsaw,2019
"Koprivnica : University North, 2019","2019, vol. 11 s. 40-52 - rys., tab. - Bibliogr. 78 poz.",,11,,40-52,11,University North,Koprivnica,2019
"Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019","2019, nr 390 s. 125-138 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.",390,,,125-138,390,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
"Warszawa : Wydawnictwo Placet, 2019","2019, nr 390 s. 105-124 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.",390,,,105-124,390,Wydawnictwo Placet,Warszawa,2019
"Warszawa : Wydawnictwo Placet, 2019","167 s. : rys., tab., Bibliogr. po art.",,,,,167,Wydawnictwo Placet,Warszawa,2019
"Warszawa : Wydawnictwo Placet, 2019","2019, vol. 61, num. 4 s. 3-16 - Resumen, resum, summ. - Bibliogr. 25 poz.",4,61,,3-16,4,Wydawnictwo Placet,Warszawa,2019
"Warszawa : Wydawnictwo Placet, 2019","2019, vol. 11, iss. 3 s. 117-131 - rys., tab. - Summ. - Bibliogr. 64 poz.",3,11,,117-131,3,Wydawnictwo Placet,Warszawa,2019
"Granada : International Business Information Management Association (IBIMA), 2019","2019, nr 390 s. 7-17 - rys., tab. - Streszcz., summ. - Bibliogr. 14 poz.",390,,,7-17,390,International Business Information Management Association (IBIMA),Granada,2019
"Granada : International Business Information Management Association (IBIMA), 2019","2019, vol. 11, iss. 3 s. 48-59 - rys., tab. - Summ. - Bibliogr. 70 poz.",3,11,,48-59,3,International Business Information Management Association (IBIMA),Granada,2019
"Częstochowa : Wydawnictwo Politechniki Częstochowskiej, 2019","2019, nr 390 s. 44-59 - rys., tab. - Streszcz., summ. - Bibliogr. 21 poz.",390,,,44-59,390,Wydawnictwo Politechniki Częstochowskiej,Częstochowa,2019
"Warszawa : Difin, 2019",S. 14-15,,,,14-15,,Difin,Warszawa,2019
"Warszawa : Difin, 2019","2019, vol. 55, iss. 2 s. 118-126 - rys., tab. - Summ. - Bibliogr. 35 poz.",2,55,,118-126,2,Difin,Warszawa,2019
"Warszawa : Difin, 2019",S. 185-211,,,,185-211,,Difin,Warszawa,2019
