Column1;Column2
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, vol. 9, iss. 1 s. 132-136 - tab. - Summ. - Bibliogr. 34 poz.
Moscow : Russian State Social University, 2019;S. 103-111 - summ., tab. - Bibliogr. 24 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 383 s. 108-122 - rys., tab. - Streszcz., summ. - Bibliogr. 16 poz.
Koprivnica : University North, 2019;516 s.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;163 s.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;178 s. : rys., tab.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;"1101 s. ; Bibliogr. przy rozdz."
Moscow : Russian State Social University, 2019;2019, nr 382 s. 80-90 - rys., tab. - Streszcz., summ. - Bibliogr. 25 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, nr 6 s. 2-10 - rys. - Streszcz., summ. - Bibliogr. 36 poz.
Koprivnica : University North, 2019;2019, nr 382 s. 64-79 - rys., tab. - Streszcz., summ. - Bibliogr. 38 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, nr 382 s. 133-142 - Streszcz., summ. - Bibliogr. 38 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 382 s. 123-132 - tab. - Streszcz., summ. - Bibliogr. 18 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;2019, nr 5 s. 25-31 - Summ. - Bibliogr. 33 poz.
Moscow : Russian State Social University, 2019;2019, nr 382 s. 24-37 - Streszcz., summ. - Bibliogr. 17 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;2019, vol. 53, no. 2 s. 67-77 - rys. - Summ. - Bibliogr. 30 poz.
Koprivnica : University North, 2019;2019, No. 20 s. 87-102 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019 s. 230-241 - rys., tab. - Summ. - Bibliogr. 14 poz.
Sofia : STEF92 Technology, 2019;2019, t. 20, nr 2 s. 57-72 - rys., tab. - Streszcz., summ. - Bibliogr. 43 poz.
Warszawa : CeDeWu, 2019;2019 s. 29-40 - rys. - Summ. - Bibliogr. 16 poz.
Katowice : Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach, 2019;2019, nr 390 s. 91-104 - rys., tab. - Streszcz., summ. - Bibliogr. 22 poz.
Katowice : Publishing House of the University of Economics in Katowice, 2019;2019, No. 20 s. 23-37 - Streszcz., summ. - Bibliogr. 43 poz.
Varazdin : Varazdin Development and Entrepreneurship Agency, 2019;182 s. : rys., tab., Bibliogr. 257 poz., s. 169-178
Moscow : Russian State Social University, 2019;2019, vol. 14, no. 2 s. 389-403 - tab. - Summ. - Bibliogr. 38 poz.
Warsaw : Faculty of Management University of Warsaw, 2019;138 s. : rys., tab.
Koprivnica : University North, 2019;2019, vol. 11 s. 40-52 - rys., tab. - Bibliogr. 78 poz.
Rabat : Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat, 2019;2019, nr 390 s. 125-138 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.
Warszawa : Wydawnictwo Placet, 2019;2019, nr 390 s. 105-124 - rys., tab. - Streszcz., summ. - Bibliogr. 15 poz.
Warszawa : Wydawnictwo Placet, 2019;167 s. : rys., tab., Bibliogr. po art.
Warszawa : Wydawnictwo Placet, 2019;2019, vol. 61, num. 4 s. 3-16 - Resumen, resum, summ. - Bibliogr. 25 poz.
Warszawa : Wydawnictwo Placet, 2019;2019, vol. 11, iss. 3 s. 117-131 - rys., tab. - Summ. - Bibliogr. 64 poz.
Granada : International Business Information Management Association (IBIMA), 2019;2019, nr 390 s. 7-17 - rys., tab. - Streszcz., summ. - Bibliogr. 14 poz.
Granada : International Business Information Management Association (IBIMA), 2019;2019, vol. 11, iss. 3 s. 48-59 - rys., tab. - Summ. - Bibliogr. 70 poz.
Czêstochowa : Wydawnictwo Politechniki Czêstochowskiej, 2019;2019, nr 390 s. 44-59 - rys., tab. - Streszcz., summ. - Bibliogr. 21 poz.
Warszawa : Difin, 2019;S. 14-15
Warszawa : Difin, 2019;2019, vol. 55, iss. 2 s. 118-126 - rys., tab. - Summ. - Bibliogr. 35 poz.
Warszawa : Difin, 2019;S. 185-211
Warszawa : Difin, 2019;S. 65-75 - tab.
Granada : International Business Information Management Association (IBIMA), 2019;2019, nr 381 s. 102-119 - rys., tab. - Streszcz., summ. - Bibliogr. 18 poz.
Warszawa : Difin, 2019;2019, vol. 7, no. 3 s. 65-82 - rys., tab. - Summ. - Bibliogr. 42 poz.
Granada : International Business Information Management Association (IBIMA), 2019;S. 15-36 - rys., tab.
